gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season
22300061,2023-10-24,regular,1610612743,DEN,DEN,LAL,48.0,119.0,48.0,91.0,52.7,14.0,34.0,41.2,9.0,12.0,75.0,9.0,33.0,42.0,29.0,12.0,9.0,6.0,15.0,12.0,1.0,2024
22300061,2023-10-24,regular,1610612747,LAL,DEN,LAL,48.0,107.0,41.0,90.0,45.6,10.0,29.0,34.5,15.0,20.0,75.0,13.0,31.0,44.0,23.0,12.0,5.0,4.0,18.0,-12.0,0.0,2024
22300062,2023-10-24,regular,1610612744,GSW,GSW,PHX,48.0,104.0,36.0,101.0,35.6,10.0,43.0,23.3,22.0,28.0,78.6,18.0,31.0,49.0,19.0,11.0,11.0,6.0,23.0,-4.0,0.0,2024
22300062,2023-10-24,regular,1610612756,PHX,GSW,PHX,48.0,108.0,42.0,95.0,44.2,11.0,33.0,33.3,13.0,17.0,76.5,17.0,43.0,60.0,23.0,19.0,5.0,7.0,22.0,4.0,1.0,2024
22300063,2023-10-25,regular,1610612737,ATL,CHA,ATL,48.0,110.0,39.0,93.0,41.9,5.0,29.0,17.2,27.0,33.0,81.8,12.0,30.0,42.0,24.0,12.0,12.0,1.0,19.0,-6.0,0.0,2024
22300063,2023-10-25,regular,1610612766,CHA,CHA,ATL,48.0,116.0,43.0,86.0,50.0,11.0,37.0,29.7,19.0,26.0,73.1,12.0,39.0,51.0,34.0,19.0,5.0,3.0,21.0,6.0,1.0,2024
22300064,2023-10-25,regular,1610612754,IND,IND,WAS,48.0,143.0,56.0,107.0,52.3,20.0,43.0,46.5,11.0,12.0,91.7,10.0,41.0,51.0,38.0,12.0,10.0,8.0,23.0,23.0,1.0,2024
22300064,2023-10-25,regular,1610612764,WAS,IND,WAS,48.0,120.0,44.0,96.0,45.8,9.0,24.0,37.5,23.0,29.0,79.3,11.0,34.0,45.0,28.0,14.0,6.0,9.0,11.0,-23.0,0.0,2024
22300065,2023-10-25,regular,1610612738,BOS,NYK,BOS,48.0,108.0,37.0,77.0,48.1,12.0,39.0,30.8,22.0,26.0,84.6,7.0,39.0,46.0,18.0,13.0,6.0,11.0,22.0,4.0,1.0,2024
22300065,2023-10-25,regular,1610612752,NYK,NYK,BOS,48.0,104.0,36.0,97.0,37.1,18.0,41.0,43.9,14.0,26.0,53.8,17.0,30.0,47.0,24.0,11.0,9.0,0.0,22.0,-4.0,0.0,2024
22300066,2023-10-25,regular,1610612745,HOU,ORL,HOU,48.0,86.0,32.0,79.0,40.5,12.0,34.0,35.3,10.0,16.0,62.5,7.0,24.0,31.0,19.0,19.0,6.0,3.0,24.0,-30.0,0.0,2024
22300066,2023-10-25,regular,1610612753,ORL,ORL,HOU,48.0,116.0,42.0,87.0,48.3,9.0,34.0,26.5,23.0,26.0,88.5,17.0,40.0,57.0,19.0,16.0,8.0,6.0,20.0,30.0,1.0,2024
22300067,2023-10-25,regular,1610612751,BKN,BKN,CLE,48.0,113.0,42.0,84.0,50.0,9.0,27.0,33.3,20.0,26.0,76.9,13.0,37.0,50.0,30.0,18.0,6.0,6.0,16.0,-1.0,0.0,2024
22300067,2023-10-25,regular,1610612739,CLE,BKN,CLE,48.0,114.0,44.0,94.0,46.8,17.0,43.0,39.5,9.0,10.0,90.0,9.0,29.0,38.0,25.0,10.0,10.0,6.0,23.0,1.0,1.0,2024
22300068,2023-10-25,regular,1610612765,DET,MIA,DET,48.0,102.0,41.0,92.0,44.6,11.0,32.0,34.4,9.0,15.0,60.0,17.0,39.0,56.0,28.0,17.0,3.0,13.0,23.0,-1.0,0.0,2024
22300068,2023-10-25,regular,1610612748,MIA,MIA,DET,48.0,103.0,37.0,92.0,40.2,8.0,22.0,36.4,21.0,26.0,80.8,16.0,32.0,48.0,22.0,7.0,11.0,3.0,18.0,1.0,1.0,2024
22300069,2023-10-25,regular,1610612750,MIN,TOR,MIN,48.0,94.0,34.0,100.0,34.0,8.0,31.0,25.8,18.0,22.0,81.8,16.0,46.0,62.0,20.0,14.0,8.0,9.0,14.0,-3.0,0.0,2024
22300069,2023-10-25,regular,1610612761,TOR,TOR,MIN,48.0,97.0,36.0,90.0,40.0,14.0,35.0,40.0,11.0,16.0,68.8,8.0,39.0,47.0,27.0,14.0,9.0,11.0,18.0,3.0,1.0,2024
22300070,2023-10-25,regular,1610612741,CHI,CHI,OKC,48.0,104.0,39.0,94.0,41.5,12.0,42.0,28.6,14.0,18.0,77.8,13.0,29.0,42.0,26.0,13.0,10.0,3.0,16.0,-20.0,0.0,2024
22300070,2023-10-25,regular,1610612760,OKC,CHI,OKC,48.0,124.0,45.0,82.0,54.9,19.0,39.0,48.7,15.0,18.0,83.3,5.0,38.0,43.0,30.0,16.0,6.0,4.0,19.0,20.0,1.0,2024
22300071,2023-10-25,regular,1610612763,MEM,MEM,NOP,48.0,104.0,38.0,91.0,41.8,12.0,43.0,27.9,16.0,20.0,80.0,8.0,29.0,37.0,23.0,13.0,8.0,7.0,19.0,-7.0,0.0,2024
22300071,2023-10-25,regular,1610612740,NOP,MEM,NOP,48.0,111.0,40.0,85.0,47.1,14.0,32.0,43.8,17.0,22.0,77.3,11.0,41.0,52.0,22.0,21.0,8.0,5.0,21.0,7.0,1.0,2024
22300072,2023-10-25,regular,1610612758,SAC,UTA,SAC,48.0,130.0,47.0,102.0,46.1,19.0,51.0,37.3,17.0,20.0,85.0,15.0,30.0,45.0,29.0,12.0,6.0,8.0,25.0,16.0,1.0,2024
22300072,2023-10-25,regular,1610612762,UTA,UTA,SAC,48.0,114.0,41.0,91.0,45.1,9.0,28.0,32.1,23.0,31.0,74.2,16.0,38.0,54.0,22.0,14.0,6.0,2.0,20.0,-16.0,0.0,2024
22300073,2023-10-25,regular,1610612742,DAL,SAS,DAL,48.0,126.0,47.0,99.0,47.5,15.0,47.0,31.9,17.0,23.0,73.9,13.0,35.0,48.0,24.0,12.0,6.0,3.0,20.0,7.0,1.0,2024
22300073,2023-10-25,regular,1610612759,SAS,SAS,DAL,48.0,119.0,46.0,89.0,51.7,11.0,35.0,31.4,16.0,22.0,72.7,9.0,36.0,45.0,33.0,19.0,8.0,5.0,23.0,-7.0,0.0,2024
22300074,2023-10-25,regular,1610612746,LAC,LAC,POR,48.0,123.0,47.0,90.0,52.2,16.0,34.0,47.1,13.0,16.0,81.3,14.0,31.0,45.0,36.0,18.0,11.0,7.0,20.0,12.0,1.0,2024
22300074,2023-10-25,regular,1610612757,POR,LAC,POR,48.0,111.0,44.0,93.0,47.3,10.0,32.0,31.3,13.0,17.0,76.5,15.0,25.0,40.0,20.0,18.0,10.0,4.0,20.0,-12.0,0.0,2024
22300075,2023-10-26,regular,1610612749,MIL,MIL,PHI,48.0,118.0,41.0,81.0,50.6,11.0,30.0,36.7,25.0,36.0,69.4,8.0,35.0,43.0,20.0,14.0,9.0,4.0,23.0,1.0,1.0,2024
22300075,2023-10-26,regular,1610612755,PHI,MIL,PHI,48.0,117.0,41.0,80.0,51.3,16.0,35.0,45.7,19.0,28.0,67.9,4.0,35.0,39.0,25.0,15.0,8.0,4.0,28.0,-1.0,0.0,2024
