gameid,date,type,playerid,player,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,win,season
22300061,2023-10-24,regular,1627750,Jamal Murray,DEN,DEN,LAL,34,21,8,13,61.5,3,5,60.0,2,2,100.0,0,2,2,6,0,1,1,3,3,1,2024
22300061,2023-10-24,regular,202704,Reggie Jackson,DEN,DEN,LAL,24,8,3,8,37.5,2,5,40.0,0,0,0.0,0,3,3,1,1,0,2,0,11,1,2024
22300061,2023-10-24,regular,1629618,Jalen Pickett,DEN,DEN,LAL,1,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,2024
22300061,2023-10-24,regular,1631212,Peyton Watson,DEN,DEN,LAL,11,3,1,3,33.3,1,3,33.3,0,0,0.0,0,0,0,0,0,1,1,1,1,1,2024
22300061,2023-10-24,regular,1630296,Braxton Key,DEN,DEN,LAL,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,2024
22300061,2023-10-24,regular,1631221,Collin Gillespie,DEN,DEN,LAL,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,2024
22300061,2023-10-24,regular,1631128,Christian Braun,DEN,DEN,LAL,19,5,2,5,40.0,0,1,0.0,1,2,50.0,1,2,3,2,0,1,1,1,5,1,2024
22300061,2023-10-24,regular,1630192,Zeke Nnaji,DEN,DEN,LAL,12,4,1,3,33.3,0,1,0.0,2,2,100.0,0,0,0,1,0,0,1,2,-3,1,2024
22300061,2023-10-24,regular,1629008,Michael Porter Jr.,DEN,DEN,LAL,30,12,5,13,38.5,2,9,22.2,0,0,0.0,2,10,12,2,2,0,0,1,12,1,2024
22300061,2023-10-24,regular,203484,Kentavious Caldwell-Pope,DEN,DEN,LAL,36,20,8,12,66.7,2,3,66.7,2,2,100.0,1,1,2,1,3,1,3,5,10,1,2024
22300061,2023-10-24,regular,203999,Nikola Jokic,DEN,DEN,LAL,36,29,12,22,54.5,3,5,60.0,2,4,50.0,3,10,13,11,1,1,2,2,15,1,2024
22300061,2023-10-24,regular,203932,Aaron Gordon,DEN,DEN,LAL,35,15,7,11,63.6,1,2,50.0,0,0,0.0,2,5,7,5,2,1,0,0,6,1,2024
22300061,2023-10-24,regular,203076,Anthony Davis,LAL,DEN,LAL,34,17,6,17,35.3,1,2,50.0,4,4,100.0,1,7,8,4,0,2,2,3,-17,0,2024
22300061,2023-10-24,regular,1629216,Gabe Vincent,LAL,DEN,LAL,22,6,3,8,37.5,0,4,0.0,0,0,0.0,1,0,1,2,1,0,2,3,-17,0,2024
22300061,2023-10-24,regular,1626156,D'Angelo Russell,LAL,DEN,LAL,36,11,4,12,33.3,2,5,40.0,1,2,50.0,0,4,4,7,1,0,3,3,1,0,2024
22300061,2023-10-24,regular,1629060,Rui Hachimura,LAL,DEN,LAL,15,6,3,10,30.0,0,3,0.0,0,0,0.0,2,1,3,0,0,0,0,2,-8,0,2024
22300061,2023-10-24,regular,1630559,Austin Reaves,LAL,DEN,LAL,31,14,4,11,36.4,1,2,50.0,5,7,71.4,4,4,8,4,2,0,2,2,-14,0,2024
22300061,2023-10-24,regular,1629629,Cam Reddish,LAL,DEN,LAL,18,7,2,4,50.0,1,2,50.0,2,2,100.0,2,2,4,0,0,1,0,2,7,0,2024
22300061,2023-10-24,regular,2544,LeBron James,LAL,DEN,LAL,29,21,10,16,62.5,1,4,25.0,0,1,0.0,1,7,8,5,1,0,0,1,7,0,2024
22300061,2023-10-24,regular,1627752,Taurean Prince,LAL,DEN,LAL,30,18,6,8,75.0,4,6,66.7,2,2,100.0,1,2,3,1,0,1,1,0,-14,0,2024
22300061,2023-10-24,regular,1626174,Christian Wood,LAL,DEN,LAL,15,7,3,4,75.0,0,1,0.0,1,2,50.0,1,3,4,0,0,0,1,1,2,0,2024
22300061,2023-10-24,regular,1629637,Jaxson Hayes,LAL,DEN,LAL,7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-7,0,2024
22300061,2023-10-24,regular,1641721,Maxwell Lewis,LAL,DEN,LAL,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2024
22300061,2023-10-24,regular,1631108,Max Christie,LAL,DEN,LAL,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2024
22300062,2023-10-24,regular,1626172,Kevon Looney,GSW,GSW,PHX,28,7,3,6,50.0,0,0,0.0,1,1,100.0,5,6,11,1,0,0,2,2,-11,0,2024
22300062,2023-10-24,regular,202691,Klay Thompson,GSW,GSW,PHX,36,15,6,18,33.3,3,11,27.3,0,0,0.0,1,6,7,3,0,1,3,3,9,0,2024
22300062,2023-10-24,regular,203952,Andrew Wiggins,GSW,GSW,PHX,27,10,4,12,33.3,0,3,0.0,2,3,66.7,1,0,1,0,0,1,0,3,-22,0,2024
22300062,2023-10-24,regular,203967,Dario Saric,GSW,GSW,PHX,20,7,3,11,27.3,1,3,33.3,0,0,0.0,4,3,7,1,0,2,0,3,7,0,2024
22300062,2023-10-24,regular,1630541,Moses Moody,GSW,GSW,PHX,18,11,4,6,66.7,2,4,50.0,1,2,50.0,1,2,3,0,3,1,1,1,-6,0,2024
22300062,2023-10-24,regular,1627780,Gary Payton II,GSW,GSW,PHX,22,1,0,5,0.0,0,2,0.0,1,2,50.0,0,2,2,2,3,0,0,1,15,0,2024
22300062,2023-10-24,regular,202709,Cory Joseph,GSW,GSW,PHX,4,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,-12,0,2024
22300062,2023-10-24,regular,101108,Chris Paul,GSW,GSW,PHX,34,14,4,15,26.7,0,6,0.0,6,7,85.7,1,5,6,9,2,0,1,0,5,0,2024
22300062,2023-10-24,regular,1630228,Jonathan Kuminga,GSW,GSW,PHX,20,12,4,8,50.0,0,0,0.0,4,6,66.7,3,3,6,1,2,1,2,5,4,0,2024
22300062,2023-10-24,regular,201939,Stephen Curry,GSW,GSW,PHX,31,27,8,20,40.0,4,14,28.6,7,7,100.0,1,4,5,1,1,0,2,5,-9,0,2024
22300062,2023-10-24,regular,1629642,Nassir Little,PHX,GSW,PHX,3,3,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,0,1,0,0,1,-3,1,2024
22300062,2023-10-24,regular,203994,Jusuf Nurkic,PHX,GSW,PHX,28,14,5,8,62.5,1,2,50.0,3,3,100.0,3,11,14,3,0,1,1,5,2,1,2024
22300062,2023-10-24,regular,1629139,Yuta Watanabe,PHX,GSW,PHX,18,8,3,5,60.0,2,4,50.0,0,0,0.0,0,4,4,0,0,1,1,2,7,1,2024
22300062,2023-10-24,regular,201142,Kevin Durant,PHX,GSW,PHX,37,18,7,22,31.8,1,2,50.0,3,5,60.0,2,9,11,3,0,1,2,1,0,1,2024
22300062,2023-10-24,regular,1629006,Josh Okogie,PHX,GSW,PHX,32,17,7,9,77.8,1,1,100.0,2,2,100.0,4,1,5,1,1,0,2,2,2,1,2024
22300062,2023-10-24,regular,1628960,Grayson Allen,PHX,GSW,PHX,21,0,0,6,0.0,0,5,0.0,0,0,0.0,3,1,4,2,0,0,1,2,-4,1,2024
22300062,2023-10-24,regular,1630692,Jordan Goodwin,PHX,GSW,PHX,14,2,1,4,25.0,0,1,0.0,0,0,0.0,1,3,4,3,1,0,2,0,7,1,2024
22300062,2023-10-24,regular,1626164,Devin Booker,PHX,GSW,PHX,37,32,13,21,61.9,3,8,37.5,3,3,100.0,1,5,6,8,1,0,6,4,5,1,2024
22300062,2023-10-24,regular,201569,Eric Gordon,PHX,GSW,PHX,32,10,4,16,25.0,2,9,22.2,0,0,0.0,1,3,4,1,1,1,1,2,6,1,2024
22300062,2023-10-24,regular,1629234,Drew Eubanks,PHX,GSW,PHX,19,4,1,3,33.3,0,0,0.0,2,4,50.0,2,5,7,2,0,3,3,3,-2,1,2024
22300063,2023-10-25,regular,1630552,Jalen Johnson,ATL,CHA,ATL,29,21,9,13,69.2,1,3,33.3,2,4,50.0,0,7,7,2,2,1,0,1,8,0,2024
22300063,2023-10-25,regular,1629631,De'Andre Hunter,ATL,CHA,ATL,31,9,4,9,44.4,1,4,25.0,0,1,0.0,2,2,4,1,0,0,0,6,-13,0,2024
22300063,2023-10-25,regular,1631100,AJ Griffin,ATL,CHA,ATL,10,2,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,1,2,0,2024
22300063,2023-10-25,regular,1627749,Dejounte Murray,ATL,CHA,ATL,33,11,3,14,21.4,0,3,0.0,5,6,83.3,0,2,2,6,0,0,1,0,-15,0,2024
22300063,2023-10-25,regular,1630168,Onyeka Okongwu,ATL,CHA,ATL,19,7,3,5,60.0,0,0,0.0,1,1,100.0,1,3,4,2,0,0,1,5,14,0,2024
22300063,2023-10-25,regular,1630180,Saddiq Bey,ATL,CHA,ATL,29,15,6,12,50.0,1,4,25.0,2,2,100.0,3,2,5,0,5,0,2,1,-2,0,2024
22300063,2023-10-25,regular,1629027,Trae Young,ATL,CHA,ATL,36,23,4,19,21.1,1,9,11.1,14,15,93.3,0,1,1,9,1,0,5,3,-11,0,2024
22300063,2023-10-25,regular,203991,Clint Capela,ATL,CHA,ATL,29,15,6,10,60.0,0,0,0.0,3,4,75.0,6,7,13,0,1,0,2,1,-19,0,2024
22300063,2023-10-25,regular,203992,Bogdan Bogdanovic,ATL,CHA,ATL,24,7,3,9,33.3,1,5,20.0,0,0,0.0,0,4,4,4,3,0,0,1,6,0,2024
22300063,2023-10-25,regular,1629023,P.J. Washington,CHA,CHA,ATL,32,25,12,18,66.7,1,6,16.7,0,0,0.0,1,4,5,2,0,0,1,4,5,1,2024
22300063,2023-10-25,regular,1630550,JT Thor,CHA,CHA,ATL,20,5,2,7,28.6,1,3,33.3,0,0,0.0,1,1,2,1,0,0,0,0,2,1,2024
22300063,2023-10-25,regular,1641706,Brandon Miller,CHA,CHA,ATL,25,13,5,9,55.6,3,7,42.9,0,0,0.0,0,3,3,2,0,0,1,3,-13,1,2024
22300063,2023-10-25,regular,1630208,Nick Richards,CHA,CHA,ATL,18,7,2,2,100.0,0,0,0.0,3,4,75.0,1,3,4,1,0,1,2,3,-14,1,2024
22300063,2023-10-25,regular,1630163,LaMelo Ball,CHA,CHA,ATL,31,15,4,15,26.7,4,11,36.4,3,4,75.0,1,5,6,10,1,0,3,3,7,1,2024
22300063,2023-10-25,regular,1626179,Terry Rozier,CHA,CHA,ATL,34,24,7,16,43.8,2,7,28.6,8,12,66.7,1,4,5,6,0,0,3,2,14,1,2024
22300063,2023-10-25,regular,1630177,Theo Maledon,CHA,CHA,ATL,16,4,2,5,40.0,0,2,0.0,0,0,0.0,0,3,3,4,0,0,1,3,-5,1,2024
22300063,2023-10-25,regular,1631109,Mark Williams,CHA,CHA,ATL,30,13,5,6,83.3,0,0,0.0,3,3,100.0,4,11,15,1,3,1,2,2,19,1,2024
22300063,2023-10-25,regular,1641733,Nick Smith Jr.,CHA,CHA,ATL,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,2024
22300063,2023-10-25,regular,202330,Gordon Hayward,CHA,CHA,ATL,33,10,4,8,50.0,0,1,0.0,2,3,66.7,3,5,8,7,1,1,6,1,15,1,2024
22300064,2023-10-25,regular,1631097,Bennedict Mathurin,IND,IND,WAS,26,18,6,15,40.0,2,6,33.3,4,4,100.0,0,4,4,5,2,0,2,1,14,1,2024
22300064,2023-10-25,regular,1630169,Tyrese Haliburton,IND,IND,WAS,27,20,9,16,56.3,2,6,33.3,0,0,0.0,0,3,3,11,1,2,3,1,6,1,2024
22300064,2023-10-25,regular,1630167,Obi Toppin,IND,IND,WAS,19,11,4,9,44.4,2,5,40.0,1,1,100.0,1,3,4,1,1,0,0,0,7,1,2024
22300064,2023-10-25,regular,204456,T.J. McConnell,IND,IND,WAS,6,4,2,2,100.0,0,0,0.0,0,0,0.0,0,1,1,2,2,0,0,0,1,1,2024
22300064,2023-10-25,regular,1630543,Isaiah Jackson,IND,IND,WAS,11,4,2,4,50.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,2,3,1,2024
22300064,2023-10-25,regular,1641767,Ben Sheppard,IND,IND,WAS,6,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,3,1,2024
22300064,2023-10-25,regular,1629670,Jordan Nwora,IND,IND,WAS,6,5,2,7,28.6,1,2,50.0,0,0,0.0,1,0,1,1,0,1,0,0,3,1,2024
22300064,2023-10-25,regular,1630188,Jalen Smith,IND,IND,WAS,13,13,5,6,83.3,2,2,100.0,1,1,100.0,3,5,8,0,1,0,0,4,6,1,2024
22300064,2023-10-25,regular,1630174,Aaron Nesmith,IND,IND,WAS,23,7,2,5,40.0,1,3,33.3,2,2,100.0,1,4,5,1,0,1,1,3,13,1,2024
22300064,2023-10-25,regular,1628971,Bruce Brown,IND,IND,WAS,27,24,8,11,72.7,6,8,75.0,2,2,100.0,1,2,3,1,1,0,1,3,15,1,2024
22300064,2023-10-25,regular,1641716,Jarace Walker,IND,IND,WAS,6,0,0,5,0.0,0,1,0.0,0,0,0.0,1,3,4,0,1,0,0,1,3,1,2024
22300064,2023-10-25,regular,1626167,Myles Turner,IND,IND,WAS,23,11,5,8,62.5,0,2,0.0,1,2,50.0,0,8,8,1,0,3,2,4,14,1,2024
22300064,2023-10-25,regular,1627741,Buddy Hield,IND,IND,WAS,25,14,5,9,55.6,4,7,57.1,0,0,0.0,0,2,2,5,1,1,1,0,15,1,2024
22300064,2023-10-25,regular,1629614,Andrew Nembhard,IND,IND,WAS,22,12,6,9,66.7,0,1,0.0,0,0,0.0,1,3,4,10,0,0,2,4,12,1,2024
22300064,2023-10-25,regular,1628398,Kyle Kuzma,WAS,IND,WAS,25,25,9,18,50.0,1,4,25.0,6,6,100.0,1,1,2,0,0,2,0,0,-10,0,2024
22300064,2023-10-25,regular,1626153,Delon Wright,WAS,IND,WAS,25,8,3,8,37.5,1,1,100.0,1,1,100.0,1,5,6,6,3,0,0,1,-15,0,2024
22300064,2023-10-25,regular,1641731,Bilal Coulibaly,WAS,IND,WAS,23,3,1,3,33.3,1,1,100.0,0,0,0.0,0,4,4,3,0,3,3,1,-13,0,2024
22300064,2023-10-25,regular,1630166,Deni Avdija,WAS,IND,WAS,21,9,4,8,50.0,0,0,0.0,1,2,50.0,2,5,7,5,1,0,2,0,-15,0,2024
22300064,2023-10-25,regular,1631157,Ryan Rollins,WAS,IND,WAS,6,1,0,3,0.0,0,0,0.0,1,2,50.0,0,3,3,1,0,0,1,0,-1,0,2024
22300064,2023-10-25,regular,1631116,Patrick Baldwin Jr.,WAS,IND,WAS,3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,2024
22300064,2023-10-25,regular,1630647,Eugene Omoruyi,WAS,IND,WAS,8,4,2,3,66.7,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,0,-2,0,2024
22300064,2023-10-25,regular,1630557,Corey Kispert,WAS,IND,WAS,24,11,4,11,36.4,1,5,20.0,2,2,100.0,2,3,5,1,0,0,1,1,-8,0,2024
22300064,2023-10-25,regular,1629655,Daniel Gafford,WAS,IND,WAS,21,6,2,2,100.0,0,0,0.0,2,4,50.0,1,4,5,0,0,2,0,5,-23,0,2024
22300064,2023-10-25,regular,203488,Mike Muscala,WAS,IND,WAS,8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,-8,0,2024
22300064,2023-10-25,regular,201568,Danilo Gallinari,WAS,IND,WAS,17,16,4,7,57.1,2,2,100.0,6,6,100.0,2,1,3,0,0,0,0,1,5,0,2024
22300064,2023-10-25,regular,1629673,Jordan Poole,WAS,IND,WAS,26,18,7,18,38.9,0,6,0.0,4,5,80.0,0,2,2,5,1,1,4,1,-12,0,2024
22300064,2023-10-25,regular,1626145,Tyus Jones,WAS,IND,WAS,28,16,7,12,58.3,2,4,50.0,0,1,0.0,1,2,3,6,1,1,2,1,-17,0,2024
22300064,2023-10-25,regular,1630215,Jared Butler,WAS,IND,WAS,3,3,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,2024
22300065,2023-10-25,regular,1627759,Jaylen Brown,BOS,NYK,BOS,38,11,4,11,36.4,0,4,0.0,3,4,75.0,0,6,6,5,1,0,2,5,8,1,2024
22300065,2023-10-25,regular,1628401,Derrick White,BOS,NYK,BOS,32,12,4,6,66.7,1,3,33.3,3,4,75.0,0,6,6,2,2,1,1,3,7,1,2024
22300065,2023-10-25,regular,1628436,Luke Kornet,BOS,NYK,BOS,8,0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,2,0,1,0,0,-1,1,2024
22300065,2023-10-25,regular,1628369,Jayson Tatum,BOS,NYK,BOS,39,34,13,22,59.1,3,8,37.5,5,6,83.3,0,11,11,4,2,1,4,3,0,1,2024
22300065,2023-10-25,regular,204001,Kristaps Porzingis,BOS,NYK,BOS,38,30,8,15,53.3,5,9,55.6,9,10,90.0,1,7,8,0,0,4,1,4,13,1,2024
22300065,2023-10-25,regular,1630573,Sam Hauser,BOS,NYK,BOS,14,0,0,4,0.0,0,4,0.0,0,0,0.0,0,2,2,0,1,1,0,1,5,1,2024
22300065,2023-10-25,regular,1630202,Payton Pritchard,BOS,NYK,BOS,11,4,1,4,25.0,0,3,0.0,2,2,100.0,0,1,1,1,0,0,0,1,-8,1,2024
22300065,2023-10-25,regular,201143,Al Horford,BOS,NYK,BOS,26,8,3,4,75.0,2,3,66.7,0,0,0.0,3,4,7,2,0,0,3,2,-7,1,2024
22300065,2023-10-25,regular,201950,Jrue Holiday,BOS,NYK,BOS,35,9,4,10,40.0,1,5,20.0,0,0,0.0,2,2,4,2,0,3,2,3,3,1,2024
22300065,2023-10-25,regular,1629628,RJ Barrett,NYK,NYK,BOS,36,24,8,20,40.0,2,5,40.0,6,7,85.7,1,2,3,2,1,0,2,0,6,0,2024
22300065,2023-10-25,regular,1628973,Jalen Brunson,NYK,NYK,BOS,33,15,6,21,28.6,3,8,37.5,0,1,0.0,1,2,3,6,3,0,2,3,-9,0,2024
22300065,2023-10-25,regular,1628392,Isaiah Hartenstein,NYK,NYK,BOS,26,7,3,4,75.0,0,0,0.0,1,2,50.0,5,3,8,2,0,0,1,5,-5,0,2024
22300065,2023-10-25,regular,1628404,Josh Hart,NYK,NYK,BOS,22,7,2,4,50.0,2,4,50.0,1,2,50.0,1,5,6,0,0,0,1,1,-1,0,2024
22300065,2023-10-25,regular,203944,Julius Randle,NYK,NYK,BOS,34,14,5,22,22.7,3,8,37.5,1,5,20.0,4,7,11,7,2,0,0,3,-13,0,2024
22300065,2023-10-25,regular,1629656,Quentin Grimes,NYK,NYK,BOS,23,11,4,7,57.1,3,6,50.0,0,1,0.0,0,1,1,0,0,0,0,2,-1,0,2024
22300065,2023-10-25,regular,1628978,Donte DiVincenzo,NYK,NYK,BOS,15,0,0,4,0.0,0,3,0.0,0,0,0.0,0,3,3,2,0,0,0,1,5,0,2024
22300065,2023-10-25,regular,1630193,Immanuel Quickley,NYK,NYK,BOS,28,24,7,11,63.6,5,7,71.4,5,6,83.3,2,4,6,4,1,0,2,3,-3,0,2024
22300065,2023-10-25,regular,1629011,Mitchell Robinson,NYK,NYK,BOS,22,2,1,4,25.0,0,0,0.0,0,2,0.0,3,3,6,1,2,0,1,4,1,0,2024
22300066,2023-10-25,regular,1631095,Jabari Smith Jr.,HOU,ORL,HOU,26,7,3,9,33.3,0,4,0.0,1,2,50.0,1,4,5,1,1,0,1,6,-8,0,2024
22300066,2023-10-25,regular,1630578,Alperen Sengun,HOU,ORL,HOU,28,14,6,11,54.5,0,1,0.0,2,4,50.0,2,6,8,6,0,0,1,4,-2,0,2024
22300066,2023-10-25,regular,201145,Jeff Green,HOU,ORL,HOU,14,4,2,4,50.0,0,1,0.0,0,1,0.0,3,0,3,1,0,0,1,2,-11,0,2024
22300066,2023-10-25,regular,1628988,Aaron Holiday,HOU,ORL,HOU,5,0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-9,0,2024
22300066,2023-10-25,regular,1641715,Cam Whitmore,HOU,ORL,HOU,10,0,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,0,-12,0,2024
22300066,2023-10-25,regular,1630256,Jae'Sean Tate,HOU,ORL,HOU,15,5,2,2,100.0,1,1,100.0,0,0,0.0,0,2,2,0,1,1,0,1,-11,0,2024
22300066,2023-10-25,regular,1631257,Jermaine Samuels Jr.,HOU,ORL,HOU,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-10,0,2024
22300066,2023-10-25,regular,1630224,Jalen Green,HOU,ORL,HOU,30,10,2,10,20.0,0,1,0.0,6,7,85.7,0,1,1,0,1,1,4,2,-12,0,2024
22300066,2023-10-25,regular,1629111,Jock Landale,HOU,ORL,HOU,9,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,2,0,0,1,1,-9,0,2024
22300066,2023-10-25,regular,203493,Reggie Bullock Jr.,HOU,ORL,HOU,11,3,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,0,1,1,0,1,-5,0,2024
22300066,2023-10-25,regular,1627832,Fred VanVleet,HOU,ORL,HOU,34,14,5,13,38.5,4,6,66.7,0,0,0.0,0,1,1,5,1,0,3,0,-3,0,2024
22300066,2023-10-25,regular,1631466,Nate Williams,HOU,ORL,HOU,5,4,2,3,66.7,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-9,0,2024
22300066,2023-10-25,regular,1628415,Dillon Brooks,HOU,ORL,HOU,26,14,5,7,71.4,4,6,66.7,0,0,0.0,0,4,4,2,1,0,2,4,-15,0,2024
22300066,2023-10-25,regular,1641708,Amen Thompson,HOU,ORL,HOU,21,8,3,10,30.0,1,7,14.3,1,2,50.0,1,4,5,2,0,0,4,2,-34,0,2024
22300066,2023-10-25,regular,1628976,Wendell Carter Jr.,ORL,ORL,HOU,27,8,4,10,40.0,0,2,0.0,0,0,0.0,4,4,8,1,2,0,2,3,8,1,2024
