gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season,home_game,normalized_pts,win_encoded
22300061,2023-10-24,regular,1610612743,DEN,DEN,LAL,48.0,119.0,48.0,91.0,0.5274725274725275,14.0,34.0,0.4117647058823529,9.0,12.0,0.75,9.0,33.0,42.0,29.0,12.0,9.0,6.0,15.0,12.0,1.0,2024,1,0.33552002291176874,1
22300061,2023-10-24,regular,1610612747,LAL,DEN,LAL,48.0,107.0,41.0,90.0,0.45555555555555555,10.0,29.0,0.3448275862068966,15.0,20.0,0.75,13.0,31.0,44.0,23.0,12.0,5.0,4.0,18.0,-12.0,0.0,2024,0,-0.8824353632686787,0
22300062,2023-10-24,regular,1610612744,GSW,GSW,PHX,48.0,104.0,36.0,101.0,0.3564356435643564,10.0,43.0,0.23255813953488372,22.0,28.0,0.7857142857142857,18.0,31.0,49.0,19.0,11.0,11.0,6.0,23.0,-4.0,0.0,2024,1,-1.1292117510491484,0
22300062,2023-10-24,regular,1610612756,PHX,GSW,PHX,48.0,108.0,42.0,95.0,0.4421052631578947,11.0,33.0,0.3333333333333333,13.0,17.0,0.7647058823529411,17.0,43.0,60.0,23.0,19.0,5.0,7.0,22.0,4.0,1.0,2024,0,-0.7795290422690037,1
22300063,2023-10-25,regular,1610612737,ATL,CHA,ATL,48.0,110.0,39.0,93.0,0.41935483870967744,5.0,29.0,0.1724137931034483,27.0,33.0,0.8181818181818182,12.0,30.0,42.0,24.0,12.0,12.0,1.0,19.0,-6.0,0.0,2024,0,-0.6591005002596381,0
22300063,2023-10-25,regular,1610612766,CHA,CHA,ATL,48.0,116.0,43.0,86.0,0.5,11.0,37.0,0.2972972972972973,19.0,26.0,0.7307692307692307,12.0,39.0,51.0,34.0,19.0,5.0,3.0,21.0,6.0,1.0,2024,1,0.7765417277348011,1
22300064,2023-10-25,regular,1610612754,IND,IND,WAS,48.0,143.0,56.0,107.0,0.5233644859813084,20.0,43.0,0.46511627906976744,11.0,12.0,0.9166666666666666,10.0,41.0,51.0,38.0,12.0,10.0,8.0,23.0,23.0,1.0,2024,1,1.4488152652999782,1
22300064,2023-10-25,regular,1610612764,WAS,IND,WAS,48.0,120.0,44.0,96.0,0.4583333333333333,9.0,24.0,0.375,23.0,29.0,0.7931034482758621,11.0,34.0,45.0,28.0,14.0,6.0,9.0,11.0,-23.0,0.0,2024,0,0.5939801761281664,0
22300065,2023-10-25,regular,1610612738,BOS,NYK,BOS,48.0,108.0,37.0,77.0,0.4805194805194805,12.0,39.0,0.3076923076923077,22.0,26.0,0.8461538461538461,7.0,39.0,46.0,18.0,13.0,6.0,11.0,22.0,4.0,1.0,2024,0,-1.0176694871658014,1
22300065,2023-10-25,regular,1610612752,NYK,NYK,BOS,48.0,104.0,36.0,97.0,0.3711340206185567,18.0,41.0,0.43902439024390244,14.0,26.0,0.5384615384615384,17.0,30.0,47.0,24.0,11.0,9.0,0.0,22.0,-4.0,0.0,2024,1,-0.719535866138407,0
22300066,2023-10-25,regular,1610612745,HOU,ORL,HOU,48.0,86.0,32.0,79.0,0.4050632911392405,12.0,34.0,0.35294117647058826,10.0,16.0,0.625,7.0,24.0,31.0,19.0,19.0,6.0,3.0,24.0,-30.0,0.0,2024,0,-2.25058278383604,0
22300066,2023-10-25,regular,1610612753,ORL,ORL,HOU,48.0,116.0,42.0,87.0,0.4827586206896552,9.0,34.0,0.2647058823529412,23.0,26.0,0.8846153846153846,17.0,40.0,57.0,19.0,16.0,8.0,6.0,20.0,30.0,1.0,2024,1,0.49439271603009927,1
22300067,2023-10-25,regular,1610612751,BKN,BKN,CLE,48.0,113.0,42.0,84.0,0.5,9.0,27.0,0.3333333333333333,20.0,26.0,0.7692307692307693,13.0,37.0,50.0,30.0,18.0,6.0,6.0,16.0,-1.0,0.0,2024,1,0.19123142368818055,0
22300067,2023-10-25,regular,1610612739,CLE,BKN,CLE,48.0,114.0,44.0,94.0,0.46808510638297873,17.0,43.0,0.3953488372093023,9.0,10.0,0.9,9.0,29.0,38.0,25.0,10.0,10.0,6.0,23.0,1.0,1.0,2024,0,0.12527243995455759,1
22300068,2023-10-25,regular,1610612765,DET,MIA,DET,48.0,102.0,41.0,92.0,0.44565217391304346,11.0,32.0,0.34375,9.0,15.0,0.6,17.0,39.0,56.0,28.0,17.0,3.0,13.0,23.0,-1.0,0.0,2024,0,-0.7273372436811073,0
22300068,2023-10-25,regular,1610612748,MIA,MIA,DET,48.0,103.0,37.0,92.0,0.40217391304347827,8.0,22.0,0.36363636363636365,21.0,26.0,0.8076923076923077,16.0,32.0,48.0,22.0,7.0,11.0,3.0,18.0,1.0,1.0,2024,1,-0.6246356004546272,1
22300069,2023-10-25,regular,1610612750,MIN,TOR,MIN,48.0,94.0,34.0,100.0,0.34,8.0,31.0,0.25806451612903225,18.0,22.0,0.8181818181818182,16.0,46.0,62.0,20.0,14.0,8.0,9.0,14.0,-3.0,0.0,2024,0,-2.064055399243555,0
22300069,2023-10-25,regular,1610612761,TOR,TOR,MIN,48.0,97.0,36.0,90.0,0.4,14.0,35.0,0.4,11.0,16.0,0.6875,8.0,39.0,47.0,27.0,14.0,9.0,11.0,18.0,3.0,1.0,2024,1,-1.2096786990845085,1
22300070,2023-10-25,regular,1610612741,CHI,CHI,OKC,48.0,104.0,39.0,94.0,0.4148936170212766,12.0,42.0,0.2857142857142857,14.0,18.0,0.7777777777777778,13.0,29.0,42.0,26.0,13.0,10.0,3.0,16.0,-20.0,0.0,2024,1,-0.7224872996359268,0
22300070,2023-10-25,regular,1610612760,OKC,CHI,OKC,48.0,124.0,45.0,82.0,0.5487804878048781,19.0,39.0,0.48717948717948717,15.0,18.0,0.8333333333333334,5.0,38.0,43.0,30.0,16.0,6.0,4.0,19.0,20.0,1.0,2024,0,0.3286459438931478,1
22300071,2023-10-25,regular,1610612763,MEM,MEM,NOP,48.0,104.0,38.0,91.0,0.4175824175824176,12.0,43.0,0.27906976744186046,16.0,20.0,0.8,8.0,29.0,37.0,23.0,13.0,8.0,7.0,19.0,-7.0,0.0,2024,1,-0.18415329220266735,0
22300071,2023-10-25,regular,1610612740,NOP,MEM,NOP,48.0,111.0,40.0,85.0,0.47058823529411764,14.0,32.0,0.4375,17.0,22.0,0.7727272727272727,11.0,41.0,52.0,22.0,21.0,8.0,5.0,21.0,7.0,1.0,2024,0,-0.28871164551223755,1
22300072,2023-10-25,regular,1610612758,SAC,UTA,SAC,48.0,130.0,47.0,102.0,0.46078431372549017,19.0,51.0,0.37254901960784315,17.0,20.0,0.85,15.0,30.0,45.0,29.0,12.0,6.0,8.0,25.0,16.0,1.0,2024,0,1.0571551637392254,1
22300072,2023-10-25,regular,1610612762,UTA,UTA,SAC,48.0,114.0,41.0,91.0,0.45054945054945056,9.0,28.0,0.32142857142857145,23.0,31.0,0.7419354838709677,16.0,38.0,54.0,22.0,14.0,6.0,2.0,20.0,-16.0,0.0,2024,1,-0.12980126834877712,0
22300073,2023-10-25,regular,1610612742,DAL,SAS,DAL,48.0,126.0,47.0,99.0,0.47474747474747475,15.0,47.0,0.3191489361702128,17.0,23.0,0.7391304347826086,13.0,35.0,48.0,24.0,12.0,6.0,3.0,20.0,7.0,1.0,2024,0,0.5707684220001623,1
22300073,2023-10-25,regular,1610612759,SAS,SAS,DAL,48.0,119.0,46.0,89.0,0.5168539325842697,11.0,35.0,0.3142857142857143,16.0,22.0,0.7272727272727273,9.0,36.0,45.0,33.0,19.0,8.0,5.0,23.0,-7.0,0.0,2024,1,0.5682018464694881,0
22300074,2023-10-25,regular,1610612746,LAC,LAC,POR,48.0,123.0,47.0,90.0,0.5222222222222223,16.0,34.0,0.47058823529411764,13.0,16.0,0.8125,14.0,31.0,45.0,36.0,18.0,11.0,7.0,20.0,12.0,1.0,2024,1,0.5698304490902799,1
22300074,2023-10-25,regular,1610612757,POR,LAC,POR,48.0,111.0,44.0,93.0,0.4731182795698925,10.0,32.0,0.3125,13.0,17.0,0.7647058823529411,15.0,25.0,40.0,20.0,18.0,10.0,4.0,20.0,-12.0,0.0,2024,0,0.3584682106223739,0
22300075,2023-10-26,regular,1610612749,MIL,MIL,PHI,48.0,118.0,41.0,81.0,0.5061728395061729,11.0,30.0,0.36666666666666664,25.0,36.0,0.6944444444444444,8.0,35.0,43.0,20.0,14.0,9.0,4.0,23.0,1.0,1.0,2024,1,-0.07296844556529068,1
