gameid,date,type,playerid,player,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,win,season,player_efficiency,normalized_pts
22300061,2023-10-24,regular,1627750,Jamal Murray,DEN,DEN,LAL,34,21,8,13,0.6153846153846154,3,5,0.6,2,2,1.0,0,2,2,6,0,1,1,3,3,1,2024,29,-0.02382101015206905
22300061,2023-10-24,regular,202704,Reggie Jackson,DEN,DEN,LAL,24,8,3,8,0.375,2,5,0.4,0,0,,0,3,3,1,1,0,2,0,11,1,2024,11,-0.3393655418349549
22300061,2023-10-24,regular,1629618,Jalen Pickett,DEN,DEN,LAL,1,2,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,2024,2,0.21542482131075175
22300061,2023-10-24,regular,1631212,Peyton Watson,DEN,DEN,LAL,11,3,1,3,0.3333333333333333,1,3,0.3333333333333333,0,0,,0,0,0,0,0,1,1,1,1,1,2024,3,-0.7867856026386529
22300061,2023-10-24,regular,1630296,Braxton Key,DEN,DEN,LAL,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,2024,0,-0.909383536944774
22300061,2023-10-24,regular,1631221,Collin Gillespie,DEN,DEN,LAL,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,2024,0,-0.823544659658244
22300061,2023-10-24,regular,1631128,Christian Braun,DEN,DEN,LAL,19,5,2,5,0.4,0,1,0.0,1,2,0.5,1,2,3,2,0,1,1,1,5,1,2024,10,-0.47920378084062537
22300061,2023-10-24,regular,1630192,Zeke Nnaji,DEN,DEN,LAL,12,4,1,3,0.3333333333333333,0,1,0.0,2,2,1.0,0,0,0,1,0,0,1,2,-3,1,2024,4,0.2495962732532452
22300061,2023-10-24,regular,1629008,Michael Porter Jr.,DEN,DEN,LAL,30,12,5,13,0.38461538461538464,2,9,0.2222222222222222,0,0,,2,10,12,2,2,0,0,1,12,1,2024,28,-0.7007423818720444
22300061,2023-10-24,regular,203484,Kentavious Caldwell-Pope,DEN,DEN,LAL,36,20,8,12,0.6666666666666666,2,3,0.6666666666666666,2,2,1.0,1,1,2,1,3,1,3,5,10,1,2024,24,1.9600412752345449
22300061,2023-10-24,regular,203999,Nikola Jokic,DEN,DEN,LAL,36,29,12,22,0.5454545454545454,3,5,0.6,2,4,0.5,3,10,13,11,1,1,2,2,15,1,2024,53,0.31952256431160864
22300061,2023-10-24,regular,203932,Aaron Gordon,DEN,DEN,LAL,35,15,7,11,0.6363636363636364,1,2,0.5,0,0,,2,5,7,5,2,1,0,0,6,1,2024,30,0.21313468990750284
22300061,2023-10-24,regular,203076,Anthony Davis,LAL,DEN,LAL,34,17,6,17,0.35294117647058826,1,2,0.5,4,4,1.0,1,7,8,4,0,2,2,3,-17,0,2024,29,-0.9509613804097641
22300061,2023-10-24,regular,1629216,Gabe Vincent,LAL,DEN,LAL,22,6,3,8,0.375,0,4,0.0,0,0,,1,0,1,2,1,0,2,3,-17,0,2024,8,0.6900495755510171
22300061,2023-10-24,regular,1626156,D'Angelo Russell,LAL,DEN,LAL,36,11,4,12,0.3333333333333333,2,5,0.4,1,2,0.5,0,4,4,7,1,0,3,3,1,0,2024,20,-0.8253835468777028
22300061,2023-10-24,regular,1629060,Rui Hachimura,LAL,DEN,LAL,15,6,3,10,0.3,0,3,0.0,0,0,,2,1,3,0,0,0,0,2,-8,0,2024,9,-1.0697328403611068
22300061,2023-10-24,regular,1630559,Austin Reaves,LAL,DEN,LAL,31,14,4,11,0.36363636363636365,1,2,0.5,5,7,0.7142857142857143,4,4,8,4,2,0,2,2,-14,0,2024,26,-0.32810380015033547
22300061,2023-10-24,regular,1629629,Cam Reddish,LAL,DEN,LAL,18,7,2,4,0.5,1,2,0.5,2,2,1.0,2,2,4,0,0,1,0,2,7,0,2024,12,0.3198584919871371
22300061,2023-10-24,regular,2544,LeBron James,LAL,DEN,LAL,29,21,10,16,0.625,1,4,0.25,0,1,0.0,1,7,8,5,1,0,0,1,7,0,2024,35,-0.698939011090896
22300061,2023-10-24,regular,1627752,Taurean Prince,LAL,DEN,LAL,30,18,6,8,0.75,4,6,0.6666666666666666,2,2,1.0,1,2,3,1,0,1,1,0,-14,0,2024,22,1.9186115215775106
22300061,2023-10-24,regular,1626174,Christian Wood,LAL,DEN,LAL,15,7,3,4,0.75,0,1,0.0,1,2,0.5,1,3,4,0,0,0,1,1,2,0,2024,10,0.01293183374461662
22300061,2023-10-24,regular,1629637,Jaxson Hayes,LAL,DEN,LAL,7,0,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,-7,0,2024,1,-1.019510861783051
22300061,2023-10-24,regular,1641721,Maxwell Lewis,LAL,DEN,LAL,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024,0,-0.4013714084289466
22300061,2023-10-24,regular,1631108,Max Christie,LAL,DEN,LAL,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024,0,-1.135218138349999
22300062,2023-10-24,regular,1626172,Kevon Looney,GSW,GSW,PHX,28,7,3,6,0.5,0,0,,1,1,1.0,5,6,11,1,0,0,2,2,-11,0,2024,17,0.8472051689174643
22300062,2023-10-24,regular,202691,Klay Thompson,GSW,GSW,PHX,36,15,6,18,0.3333333333333333,3,11,0.2727272727272727,0,0,,1,6,7,3,0,1,3,3,9,0,2024,23,-0.34279690305829474
22300062,2023-10-24,regular,203952,Andrew Wiggins,GSW,GSW,PHX,27,10,4,12,0.3333333333333333,0,3,0.0,2,3,0.6666666666666666,1,0,1,0,0,1,0,3,-22,0,2024,12,-0.5085482734090283
